@relation 'wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A12-N200-T1.0E-4-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 8 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8}

@data
-0.018095,-0.008991,-0.029376,-0.032279,0.027853,0.012185,0.024268,-0.018399,-0.020673,-0.001969,0.005248,5,cluster6
-0.012186,-0.013761,-0.043041,-0.06128,0.003987,0.021253,0.016862,0.005287,-0.011282,-0.00804,-0.020769,6,cluster3
-0.014708,-0.008557,-0.038377,-0.059001,-0.003318,0.009414,-0.000682,0.004212,-0.008978,0.003884,-0.029074,6,cluster3
-0.017225,-0.011501,-0.037564,-0.056761,-0.000439,0.011322,0.005946,0.005242,-0.020244,0.001767,-0.041404,7,cluster3
-0.013141,-0.005936,-0.051326,-0.062249,0.022151,-0.009148,0.005746,0.022112,0.003049,-0.013635,-0.025921,4,cluster5
-0.013298,-0.006255,-0.051829,-0.062178,0.02081,-0.007273,0.007133,0.024087,0.004279,-0.01489,-0.026249,5,cluster5
-0.018963,-0.015736,-0.03143,-0.059827,0.016571,0.017473,0.005622,-0.006448,-0.012547,0.010745,-0.02444,5,cluster8
-0.021633,-0.028791,-0.02895,-0.078837,0.019743,0.01984,0.022056,0.000154,-0.014641,0.000489,-0.052563,6,cluster1
-0.033883,-0.024726,-0.036784,-0.068757,0.010361,0.001717,0.012775,0.013419,-0.008901,0.011222,-0.026472,7,cluster8
-0.008831,-0.0155,-0.039906,-0.067455,0.018304,-0.00417,0.023161,-0.00189,-0.01847,0.023356,-0.028555,6,cluster8
-0.015359,-0.021246,-0.056708,-0.03118,0.022707,0.042616,0.016312,0.032242,-0.002953,0.043263,-0.026879,6,cluster7
-0.001389,-0.034938,-0.039652,-0.062834,-0.000573,0.008381,0.014212,0.003473,-0.012042,-0.014919,-0.054444,6,cluster3
-0.009458,-0.024783,-0.032937,-0.039188,0.002637,0.016469,0.018318,-0.015456,-0.012432,-0.024624,-0.03684,6,cluster6
-0.012895,0.002452,-0.036916,-0.042713,0.0164,0.000578,0.021634,-0.022808,-0.005634,0.007389,-0.006626,6,cluster6
-0.006569,-0.00269,-0.048302,-0.075857,-0.002492,-0.00293,0.026794,0.012906,-0.020017,0.003204,0.000928,6,cluster3
-0.010912,-0.00234,-0.02409,-0.061525,0.027043,-0.007575,0.013467,0.000338,-0.030905,0.020979,-0.021382,6,cluster8
-0.016694,0.00282,-0.047054,-0.043893,-0.010234,0.02566,0.014114,0.01094,-0.008873,0.014262,-0.012909,6,cluster3
-0.012895,0.002452,-0.036916,-0.042713,0.0164,0.000578,0.021634,-0.022808,-0.005634,0.007389,-0.006626,6,cluster6
0.011985,-0.005675,-0.041262,-0.085484,-0.007849,0.007857,0.029791,0.020997,-0.013748,-0.026374,-0.030927,5,cluster3
-0.006569,-0.00269,-0.048302,-0.075857,-0.002492,-0.00293,0.026794,0.012906,-0.020017,0.003204,0.000928,6,cluster3
-0.007758,-0.008231,-0.04263,-0.068865,-0.00171,-0.000343,0.011141,0.004806,-0.027702,0.004697,-0.025764,6,cluster3
-0.017436,0.010781,-0.041585,-0.071161,-0.015229,0.005239,0.00521,0.014874,-0.000618,0.000538,-0.009501,5,cluster3
-0.026598,-0.04611,-0.036864,-0.076747,0.004682,0.001674,0.043649,-0.000486,-0.01022,-0.009622,-0.03327,7,cluster1
-0.021172,0.022481,-0.046149,-0.053289,0.006568,-0.025796,0.02135,0.015618,-0.015388,0.000991,-0.038068,5,cluster3
0.007987,-0.020279,-0.053473,-0.035679,0.007327,0.011201,0.001184,-0.005492,0.002554,-0.016285,-0.042663,6,cluster5
-0.017877,-0.004537,-0.039161,-0.062434,0.009824,0.009963,-0.007498,0.002365,-0.001235,-0.019151,-0.042041,5,cluster8
-0.027922,-0.023947,-0.028639,-0.078919,0.019926,0.014259,-0.023419,-0.014503,0.008896,-0.005003,-0.026288,5,cluster8
-0.002038,-0.014779,-0.040825,-0.052274,-0.009216,0.016403,-0.001286,0.015972,-0.050029,0.016803,-0.00731,6,cluster2
-0.029023,-0.025029,-0.038994,-0.0695,0.000409,-0.005786,0.001446,0.003646,-0.019371,0.01228,-0.013222,8,cluster4
-0.009149,-0.009808,-0.032836,-0.055751,0.006729,0.016483,0.025827,-0.008348,-0.027321,0.003329,-0.003542,5,cluster6
-0.021852,-0.03444,-0.039744,-0.083143,0.018901,-0.001022,0.038156,0.003761,-0.031572,0.018176,-0.033899,7,cluster1
-0.03049,-0.04184,-0.043077,-0.086825,0.004335,-0.008092,0.008423,0.015017,-0.027349,0.008285,-0.009057,7,cluster4
0.004872,-0.007584,-0.03883,-0.072051,0.022662,0.005021,0.009171,0.021619,-0.010769,-0.000972,0.013534,5,cluster5
-0.040873,-0.027826,-0.035864,-0.067439,-0.001886,-0.005339,-0.010111,0.006219,-0.015661,0.009136,-0.016924,6,cluster4
-0.018538,-0.000965,-0.041485,-0.064547,0.012929,0.005965,0.021923,0.013097,-0.014006,-0.007768,-0.022816,5,cluster2
-0.013183,-0.008406,-0.026023,-0.056552,0.018971,0.013482,0.00602,-0.013951,-0.014774,-0.012329,-0.034375,6,cluster8
0.005821,-0.024567,-0.054061,-0.033662,0.034613,-0.013194,0.000229,0.01062,-0.025071,-0.002611,0.008441,6,cluster5
-0.026798,-0.007881,-0.040896,-0.04086,0.022449,-0.005612,0.020725,-0.007882,-0.011233,-0.012734,-0.022542,6,cluster6
0.005042,-0.022957,-0.053841,-0.032469,0.034362,-0.01302,0.002209,0.010581,-0.024605,-0.002567,0.006422,5,cluster5
0.005821,-0.024567,-0.054061,-0.033662,0.034613,-0.013194,0.000229,0.01062,-0.025071,-0.002611,0.008441,6,cluster5
0.006747,-0.020757,-0.056042,-0.031601,0.032963,-0.012483,0.00052,0.008587,-0.028251,0.001127,0.002379,6,cluster5
0.007088,-0.009166,-0.058988,-0.035136,0.014922,-0.0033,0.001839,-0.003831,-0.001416,-0.010757,-0.040795,5,cluster5
-0.019006,-0.029398,-0.043998,-0.081594,0.02206,-0.011003,0.034069,0.00693,-0.025166,0.00396,-0.043194,7,cluster1
-0.020875,-0.02964,-0.043228,-0.078741,0.019684,-0.011271,0.034767,0.004689,-0.025464,0.004843,-0.045114,7,cluster1
-0.023292,-0.015337,-0.038672,-0.068562,0.014503,-0.005946,0.023591,0.004634,-0.031196,0.005471,-0.044413,7,cluster2
-0.007321,-0.003834,-0.042257,-0.035311,0.010917,0.004329,0.022423,-0.007617,-0.011534,-0.026906,-0.038392,6,cluster6
-0.001949,-0.030336,-0.022071,-0.057352,0.014955,0.022363,0.034746,0.013314,-0.063474,-0.012609,-0.000348,4,cluster2
-0.014532,-0.011538,-0.043608,-0.030972,0.010738,0.011429,0.023117,-0.002697,-0.018415,-0.013933,-0.021334,5,cluster6
-0.018555,0.000212,-0.038116,-0.049335,0.020009,-0.000708,0.021729,-0.019865,-0.003549,0.002476,-0.012758,5,cluster6
-0.014532,-0.011538,-0.043608,-0.030972,0.010738,0.011429,0.023117,-0.002697,-0.018415,-0.013933,-0.021334,5,cluster6
-0.023043,-0.009735,-0.022836,-0.037921,0.013724,0.013777,0.032392,-0.022814,-0.024887,0.008739,-0.001496,6,cluster6
-0.0333,0.000627,-0.020865,-0.041322,0.030354,-0.001559,0.01876,-0.015555,-0.017368,0.011365,-0.022022,5,cluster8
-0.03111,-0.013129,-0.039892,-0.03062,0.010261,-0.008113,0.011669,-0.014274,-0.020047,-0.013417,-0.003762,6,cluster6
-0.014022,-0.020305,-0.038143,-0.06863,0.005569,0.003626,-0.000998,0.011837,-0.008542,-0.013021,-0.037752,5,cluster4
-0.00526,-0.03032,-0.042456,-0.024776,0.013488,0.021446,0.012726,-0.019513,-0.009006,-0.035614,-0.028042,5,cluster6
-0.002067,-0.016556,-0.04449,-0.058513,0.011869,0.004782,0.000773,0.002805,-0.011928,-0.010551,0.00007,5,cluster5
-0.005768,-0.028284,-0.040144,-0.07989,0.008749,0.003435,0.02299,-0.001369,-0.003546,-0.004715,-0.03071,6,cluster1
-0.007904,-0.035033,-0.043737,-0.07573,0.003115,0.005669,0.023454,-0.006895,-0.032791,0.017998,-0.029774,6,cluster3
-0.011514,-0.018356,-0.054572,-0.033983,0.020069,0.003493,0.010192,0.003669,-0.020275,-0.012424,-0.014603,5,cluster5
-0.018562,-0.005915,-0.043881,-0.078315,-0.013678,-0.000826,0.021333,0.004248,-0.004295,-0.00295,0.001721,5,cluster3
-0.016186,-0.006872,-0.023549,-0.057082,0.018657,0.01873,0.021809,-0.010812,-0.022841,0.011708,-0.021238,5,cluster8
0.001031,-0.007259,-0.025744,-0.060778,0.006978,0.02888,0.010016,-0.015013,-0.012109,0.006381,-0.024218,6,cluster3
-0.006503,-0.016699,-0.047245,-0.04621,0.019315,0.024507,0.015597,0.002728,-0.005488,0.028526,-0.040542,6,cluster8
-0.008677,-0.014901,-0.037507,-0.072949,0.008486,-0.001394,0.02408,0.008829,-0.026545,-0.014641,-0.011355,5,cluster2
-0.015322,-0.015239,-0.028833,-0.057373,0.021519,-0.000963,-0.001262,-0.016274,-0.005494,-0.009668,-0.030088,7,cluster8
-0.001745,-0.042322,-0.056481,-0.058791,0.02425,-0.010208,-0.002594,0.004644,-0.008922,0.003296,-0.034639,7,cluster5
-0.001541,-0.043092,-0.055453,-0.059233,0.024845,-0.007909,-0.002956,0.004426,-0.007548,0.002479,-0.036455,6,cluster5
-0.015322,-0.015239,-0.028833,-0.057373,0.021519,-0.000963,-0.001262,-0.016274,-0.005494,-0.009668,-0.030088,7,cluster8
-0.003363,-0.020392,-0.046246,-0.041598,0.023636,-0.007927,-0.001784,-0.002531,-0.002342,-0.032104,-0.018457,5,cluster5
-0.018398,-0.014469,-0.031692,-0.040434,0.009408,0.00228,0.016727,-0.024066,-0.008081,-0.020377,-0.012885,5,cluster6
-0.010731,0.003169,-0.037657,-0.046262,0.002914,-0.006016,0.004404,-0.006713,-0.010907,-0.01779,-0.027113,5,cluster6
-0.022865,-0.023773,-0.032557,-0.043922,0.012032,0.000314,0.014845,-0.019448,-0.010023,-0.020781,-0.009578,5,cluster6
-0.004896,-0.015095,-0.034218,-0.064994,0.014013,-0.004977,0.017756,0.008259,-0.045422,0.005226,-0.031594,6,cluster2
0.009605,-0.025261,-0.053467,-0.033775,0.03628,-0.008197,-0.004197,0.003648,-0.026798,0.005037,0.001739,5,cluster5
-0.018903,-0.033906,-0.037096,-0.086115,0.010582,-0.002868,0.011805,0.009468,-0.04716,0.005574,-0.015812,6,cluster2
-0.002048,-0.018519,-0.044303,-0.073292,0.010118,-0.001703,0.009121,0.00366,-0.017632,0.018809,-0.002543,5,cluster3
0.009605,-0.025261,-0.053467,-0.033775,0.03628,-0.008197,-0.004197,0.003648,-0.026798,0.005037,0.001739,5,cluster5
-0.024267,-0.022783,-0.033286,-0.062562,0.010011,-0.007312,0.009228,0.010587,-0.038432,0.01053,-0.02461,6,cluster2
-0.019805,-0.03228,-0.036208,-0.068859,-0.000876,0.003423,0.013241,0.007151,-0.043942,0.007821,-0.022367,6,cluster2
0.005268,-0.020447,-0.062917,-0.060852,-0.001737,-0.007964,0.025282,0.01048,-0.020472,0.011615,-0.029604,6,cluster3
-0.001272,-0.001759,-0.047383,-0.057275,0.009401,-0.006113,0.017194,-0.008944,-0.001529,0.013604,-0.042463,6,cluster3
0.002658,0.000612,-0.033131,-0.086326,0.02156,0.005607,0.009377,0.02037,-0.004084,-0.005143,0.020352,4,cluster8
0.005095,-0.005443,-0.052077,-0.055615,-0.008164,0.01301,0.016867,0.00411,-0.022162,0.00788,-0.016874,6,cluster3
-0.017485,-0.02368,-0.036081,-0.06218,0.025819,0.004198,0.040762,0.00111,-0.035245,-0.003836,-0.036097,7,cluster1
-0.02402,-0.010198,-0.047293,-0.043016,0.023454,-0.002748,0.017593,-0.00209,-0.035406,0.012923,-0.012481,6,cluster8
0.005095,-0.005443,-0.052077,-0.055615,-0.008164,0.01301,0.016867,0.00411,-0.022162,0.00788,-0.016874,6,cluster3
-0.014559,-0.015259,-0.045086,-0.055266,0.007605,-0.006089,0.015007,0.00858,-0.031638,0.022372,-0.022152,5,cluster2
-0.037493,-0.034472,-0.042275,-0.052257,-0.023312,0.007356,-0.01422,0.006184,-0.041718,0.000159,0.007777,6,cluster4
-0.006456,-0.013868,-0.051703,-0.025399,0.00611,0.018532,0.023431,-0.002457,-0.018896,-0.013562,-0.023477,6,cluster6
-0.013529,-0.028024,-0.048646,-0.089131,0.014391,-0.011297,0.031984,0.008513,-0.012231,0.001014,-0.032953,7,cluster1
-0.009553,-0.009043,-0.04949,-0.100332,0.015816,-0.018948,0.040817,0.013842,0.003581,-0.003305,-0.02263,8,cluster1
0.012735,-0.032335,-0.061261,-0.030606,0.007506,0.019405,0.01577,-0.018836,-0.015063,0.000819,-0.010145,5,cluster5
-0.020382,-0.012874,-0.044646,-0.035005,0.01579,-0.002551,0.018196,-0.008575,-0.009766,-0.013522,-0.024545,5,cluster6
-0.029957,-0.007718,-0.047597,-0.038254,0.021265,-0.010577,0.020532,-0.003745,-0.019967,-0.004076,-0.016374,5,cluster6
-0.015999,-0.02311,-0.03622,-0.049865,0.014008,0.012085,-0.00477,0.001325,-0.034167,-0.01739,-0.027604,6,cluster5
0.008839,-0.029907,-0.026922,-0.060446,0.017634,0.021855,0.029246,0.016588,-0.062202,-0.020684,-0.005516,5,cluster2
0.011717,-0.04006,-0.043953,-0.084643,0.007103,0.007105,0.024956,0.027928,-0.030796,-0.011494,-0.018766,4,cluster1
-0.001409,-0.034793,-0.038856,-0.071378,0.028368,0.00149,0.027455,-0.010522,-0.015659,0.011731,-0.030905,7,cluster1
-0.004551,-0.022587,-0.048586,-0.059586,0.025567,-0.002831,0.042167,-0.001801,-0.024957,0.002482,-0.035083,6,cluster1
-0.010007,-0.050617,-0.058702,-0.078162,0.01196,-0.00033,0.038296,0.015548,-0.037134,0.009229,-0.013336,4,cluster1
-0.014621,-0.004573,-0.04574,-0.04486,0.021402,-0.000555,0.022025,-0.016998,-0.00268,0.00211,-0.012259,5,cluster6
-0.015456,-0.01705,-0.046603,-0.046006,-0.008003,-0.000369,-0.008745,-0.001339,-0.005732,-0.007047,-0.023377,6,cluster4
-0.012301,-0.015563,-0.050472,-0.052522,-0.003279,-0.004239,-0.008438,0.005615,-0.006499,-0.010183,-0.017614,6,cluster4
-0.009079,0.02032,-0.048048,-0.05953,0.003142,-0.00726,0.010025,0.021392,-0.015945,-0.007038,-0.032372,5,cluster3
-0.01352,-0.018749,-0.057196,-0.021664,0.003093,0.004984,0.022917,-0.017326,-0.017815,-0.018885,0.008105,5,cluster6
-0.022643,-0.020975,-0.04535,-0.036255,0.018848,-0.001277,0.009064,-0.007965,-0.010162,-0.021397,-0.026247,6,cluster6
-0.007259,-0.030277,-0.060548,-0.02285,0.01044,-0.008067,-0.001493,-0.003218,-0.014878,-0.016768,-0.029154,5,cluster5
-0.006097,-0.029025,-0.063042,-0.024862,0.012448,-0.009846,-0.002927,-0.000509,-0.014968,-0.018483,-0.02793,5,cluster5
-0.017082,-0.025928,-0.050588,-0.041535,0.002775,-0.007494,0.006393,-0.004125,-0.016755,-0.007238,-0.019869,6,cluster6
-0.011984,-0.01494,-0.061023,-0.071367,-0.002968,-0.013905,0.019796,0.005357,-0.012188,0.002538,-0.017819,5,cluster3
-0.016634,-0.052923,-0.049561,-0.095075,0.02026,-0.014932,0.021785,0.027741,-0.020011,-0.016099,-0.011536,8,cluster1
-0.01352,-0.018749,-0.057196,-0.021664,0.003093,0.004984,0.022917,-0.017326,-0.017815,-0.018885,0.008105,5,cluster6
-0.00471,-0.033151,-0.053178,-0.06416,0.006533,0.006548,0.038744,0.002142,-0.022411,-0.002948,-0.023391,6,cluster1
-0.015218,-0.011608,-0.028247,-0.053597,0.015269,0.008699,0.012258,-0.012596,-0.013277,0.018277,-0.01935,5,cluster8
-0.046698,-0.002875,-0.06934,-0.026034,0.032839,0.045283,0.030006,0.05722,0.018434,0.037939,-0.029435,5,cluster7
-0.042965,-0.001319,-0.070006,-0.026746,0.03366,0.045003,0.031409,0.05595,0.017422,0.037587,-0.030623,5,cluster7
-0.008353,0.003452,-0.042552,-0.044507,0.004256,0.005526,0.009204,-0.002753,-0.007608,-0.014857,-0.033403,5,cluster6
-0.008353,0.003452,-0.042552,-0.044507,0.004256,0.005526,0.009204,-0.002753,-0.007608,-0.014857,-0.033403,5,cluster6
-0.023722,-0.009999,-0.03945,-0.038869,0.010675,0.003493,0.021951,-0.012976,-0.009117,-0.021395,-0.014221,5,cluster6
-0.014854,-0.001816,-0.039682,-0.041001,0.006988,0.005415,0.014579,-0.003581,-0.011237,-0.024293,-0.017082,5,cluster6
-0.006389,-0.021113,-0.043204,-0.055903,0.029709,0.000098,0.01232,0.012209,-0.002679,-0.04106,-0.016427,5,cluster5
-0.03618,-0.045588,-0.033638,-0.067097,0.022482,-0.004218,0.034265,-0.013792,-0.018777,-0.012213,-0.013733,6,cluster1
-0.007901,-0.019518,-0.05179,-0.063024,0.007993,-0.005745,0.007247,0.004725,-0.006411,0.016287,-0.014352,4,cluster3
0.002627,-0.016798,-0.050258,-0.03161,0.015259,-0.00116,0.007432,-0.016956,-0.016651,0.007232,-0.008178,5,cluster5
-0.016078,-0.029373,-0.048098,-0.087958,0.001862,-0.014715,-0.017439,0.029835,-0.01925,-0.007503,0.019811,5,cluster4
-0.004886,-0.02978,-0.050124,-0.062755,-0.014075,0.000082,-0.021364,0.014043,0.001981,-0.015155,-0.021428,6,cluster4
-0.002366,-0.023898,-0.038511,-0.069994,0.005895,0.003381,0.032095,-0.022657,-0.009288,0.011898,0.004256,5,cluster3
-0.023755,-0.029879,-0.040247,-0.06859,0.006489,-0.008182,0.005515,-0.000716,-0.023863,0.013659,-0.026203,7,cluster8
-0.016427,-0.007195,-0.019834,-0.060123,0.019257,0.011311,0.015594,-0.018877,-0.014477,0.018619,-0.019985,6,cluster8
-0.009148,0.004645,-0.047328,-0.055601,0.017434,-0.008735,0.016521,-0.01236,-0.005402,0.005891,-0.010269,5,cluster8
-0.021851,-0.004984,-0.045889,-0.045863,0.020655,-0.008164,0.02376,-0.022433,-0.000734,-0.008025,0.0018,5,cluster6
-0.002692,-0.016281,-0.047939,-0.061903,0.014292,0.003023,0.03266,-0.001416,-0.032682,-0.005574,-0.036879,5,cluster2
-0.004381,-0.009567,-0.058891,-0.069091,0.006846,0.006836,0.005785,0.0405,-0.008927,-0.036475,0.007951,6,cluster2
-0.010063,-0.015496,-0.043546,-0.077076,0.006463,-0.012418,0.018618,-0.000665,-0.016925,0.010679,-0.02241,7,cluster3
0.000619,0.000952,-0.02708,-0.061956,0.015139,0.004447,-0.000934,-0.011255,-0.011849,0.016059,-0.026376,6,cluster8
-0.008441,-0.016455,-0.042208,-0.087081,0.016117,-0.007347,0.00038,0.019171,-0.00499,-0.009381,-0.009825,6,cluster8
-0.015774,-0.015646,-0.023777,-0.036603,0.030493,0.009293,0.018047,-0.025704,-0.018981,-0.002372,0.007505,5,cluster6
-0.011053,-0.012969,-0.023509,-0.060508,0.019689,0.00823,-0.003546,-0.015577,-0.001697,0.002392,-0.043783,6,cluster8
-0.00992,-0.006542,-0.037056,-0.036965,0.014536,0.002033,0.005555,-0.009587,-0.007566,-0.030361,-0.048072,6,cluster6
-0.011053,-0.012969,-0.023509,-0.060508,0.019689,0.00823,-0.003546,-0.015577,-0.001697,0.002392,-0.043783,6,cluster8
-0.015774,-0.015646,-0.023777,-0.036603,0.030493,0.009293,0.018047,-0.025704,-0.018981,-0.002372,0.007505,5,cluster6
-0.012803,0.000724,-0.028908,-0.081669,0.0222,0.006926,0.008864,0.021693,-0.000972,-0.026065,0.0187,4,cluster8
-0.014291,-0.01393,-0.024476,-0.06293,0.027131,0.010542,-0.005959,-0.005692,-0.032774,-0.013979,-0.025502,6,cluster8
-0.016757,-0.01142,-0.039414,-0.029544,0.016411,0.009139,0.021242,-0.00885,-0.015445,-0.011273,-0.019466,6,cluster6
-0.016757,-0.01142,-0.039414,-0.029544,0.016411,0.009139,0.021242,-0.00885,-0.015445,-0.011273,-0.019466,6,cluster6
-0.016757,-0.01142,-0.039414,-0.029544,0.016411,0.009139,0.021242,-0.00885,-0.015445,-0.011273,-0.019466,6,cluster6
-0.016757,-0.01142,-0.039414,-0.029544,0.016411,0.009139,0.021242,-0.00885,-0.015445,-0.011273,-0.019466,6,cluster6
-0.033109,-0.026881,-0.019309,-0.055769,0.007845,0.007745,0.007245,-0.030326,0.001221,-0.01809,-0.001185,6,cluster6
-0.017869,-0.000273,-0.029208,-0.044258,0.014953,0.008056,0.014806,-0.00714,-0.012649,-0.022633,-0.012662,5,cluster6
-0.019685,-0.019563,-0.033117,-0.06638,-0.000161,-0.001654,0.020556,0.003591,-0.034833,-0.006381,-0.002102,5,cluster2
0.007865,-0.02319,-0.052266,-0.039558,0.02525,-0.00567,-0.000671,0.003003,-0.022585,-0.000956,0.007769,5,cluster5
-0.010896,-0.05481,-0.037702,-0.069659,-0.00918,0.017765,-0.014268,-0.017867,0.007324,-0.02694,-0.068856,6,cluster4
-0.023284,-0.044086,-0.044971,-0.080037,-0.009636,-0.001372,0.0236,0.001248,-0.019965,-0.010475,-0.045945,7,cluster4
0.004609,-0.023159,-0.041679,-0.074553,-0.002902,0.001717,0.02532,-0.010966,-0.012732,0.017945,-0.019929,7,cluster3
-0.009604,-0.01445,-0.033353,-0.08001,0.009888,0.004081,0.016946,-0.009369,-0.004542,-0.012869,0.006153,5,cluster8
-0.042228,-0.016663,-0.021248,-0.04136,0.006647,0.030276,0.037029,0.001261,-0.02146,-0.032259,-0.024837,3,cluster6
0.007865,-0.02319,-0.052266,-0.039558,0.02525,-0.00567,-0.000671,0.003003,-0.022585,-0.000956,0.007769,5,cluster5
0.00239,-0.053312,-0.029399,-0.083606,0.023783,0.007057,0.014237,-0.020595,-0.007411,0.010775,-0.023445,3,cluster8
0.004444,-0.014613,-0.054832,-0.051151,0.00079,0.00131,-0.004899,-0.000071,-0.002559,0.011429,-0.027245,6,cluster3
0.001606,-0.033897,-0.040018,-0.08074,0.008294,0.006391,0.022278,-0.003699,-0.014016,-0.00092,-0.008662,7,cluster1
0.001606,-0.033897,-0.040018,-0.08074,0.008294,0.006391,0.022278,-0.003699,-0.014016,-0.00092,-0.008662,7,cluster1
0.016325,-0.038373,-0.050033,-0.088114,0.012439,0.003828,0.021167,0.002436,-0.012656,0.014268,-0.012036,4,cluster1
-0.020787,-0.014028,-0.030544,-0.056415,0.013986,0.003874,0.017852,-0.013136,-0.02317,0.020668,-0.019434,6,cluster8
-0.005453,-0.023038,-0.052912,-0.028242,0.000546,0.008673,0.023488,-0.015839,-0.019562,-0.018527,0.004294,5,cluster6
0.005497,-0.026445,-0.039354,-0.062579,0.013347,0.008326,0.024409,-0.008707,-0.026174,0.006412,-0.005065,5,cluster3
-0.020107,-0.019502,-0.049372,-0.034631,0.013797,-0.004399,0.009325,-0.002558,-0.015744,-0.026452,-0.028413,6,cluster6
-0.005453,-0.023038,-0.052912,-0.028242,0.000546,0.008673,0.023488,-0.015839,-0.019562,-0.018527,0.004294,5,cluster6
-0.00976,-0.010487,-0.034966,-0.058319,0.007738,0.013252,0.003898,-0.003735,-0.008852,-0.014319,-0.018212,6,cluster6
-0.007754,-0.009087,-0.048288,-0.080576,0.004043,-0.012346,0.005981,0.014888,0.013204,-0.023972,0.005224,5,cluster4
