@relation cars-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-weka.filters.supervised.attribute.NominalToBinary_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A22-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute class {1,2,3,4}

@data
-0.013012,0.036479,0.025904,-0.015584,-0.035761,-0.02928,0.027598,0.016218,-0.012138,-0.002897,0.032628,-0.034627,0.013965,-0.003468,0.030415,-0.036416,-0.00143,0.001192,0.02654,0.003525,0.049987,1
-0.038322,0.009982,-0.009415,0.014639,-0.009324,-0.063431,0.055271,-0.02046,-0.031827,0.009613,-0.001961,0.018016,0.020901,-0.027246,0.021201,-0.00033,-0.042337,0.013369,0.006515,-0.022917,0.006421,1
-0.007153,0.044292,0.020045,-0.007772,-0.01623,-0.036605,0.01588,-0.021868,-0.055106,0.010287,0.017979,-0.030233,0.015918,-0.013233,0.01772,-0.036416,-0.024868,-0.002714,0.029958,0.003525,0.01776,1
-0.000289,-0.010877,0.010392,-0.03717,0.015046,-0.059312,0.047531,-0.005316,-0.015734,-0.002886,0.00206,0.017223,0.015344,0.029944,0.021222,-0.022127,-0.014108,-0.001751,0.033764,-0.012242,0.011912,1
0.00066,0.007671,-0.011205,-0.057576,-0.004511,-0.039046,0.047862,-0.013079,-0.02288,0.00931,0.010655,-0.020772,0.000293,0.033642,0.01479,-0.028603,-0.019008,0.000216,0.021291,-0.009903,0.014831,1
0.01143,0.008166,0.039689,-0.004943,0.01114,-0.040269,0.044846,0.006403,-0.030383,-0.002886,0.01622,-0.001759,0.023157,0.006507,0.018292,-0.035799,-0.006295,-0.016399,0.039013,-0.014927,0.02949,1
0.012378,0.026714,0.018091,-0.02535,-0.008418,-0.020003,0.045176,-0.00136,-0.037528,0.00931,0.024815,-0.039754,0.008106,0.010204,0.011861,-0.042275,-0.011196,-0.014433,0.02654,-0.012589,0.032409,1
-0.026604,0.009005,-0.031876,0.028311,-0.014207,-0.033646,0.02988,0.034228,0.023837,0.059906,-0.00782,0.024852,0.008206,-0.001856,0.035849,0.023108,0.022116,0.015322,-0.003739,-0.025358,0.037671,1
-0.007153,0.023296,-0.031713,-0.028279,-0.01623,-0.025862,-0.006825,0.021101,0.016183,0.06058,-0.003505,-0.004415,-0.003125,0.035595,0.035298,0.00167,0.030796,0.012911,0.014577,0.003769,0.031432,1
0.004566,0.042339,-0.002416,0.003947,-0.020136,-0.006819,-0.009511,0.032819,0.001534,0.06058,0.011143,-0.023397,0.0042,0.012157,0.032368,-0.012978,0.039585,-0.002714,0.019704,0.001083,0.04901,1
-0.020744,0.030489,0.00328,0.015616,-0.002,-0.008744,0.008884,0.041063,0.016513,0.05368,0.007805,-0.007741,0.01846,-0.009668,0.038779,0.024084,0.045554,-0.011045,0.021651,-0.015959,0.049389,1
-0.001293,0.028178,-0.037573,-0.020467,0.004278,-0.033187,-0.018544,-0.016497,-0.024833,0.074251,-0.018642,-0.00002,-0.001171,0.025829,0.022603,0.00167,0.007359,0.006075,0.017873,0.003769,-0.000794,1
0.02605,0.009136,-0.045385,0.006877,-0.005,-0.023421,0.029063,0.008405,-0.014579,0.079012,-0.012294,0.004069,-0.01289,0.033642,0.010884,-0.019814,0.006382,0.006075,-0.005687,-0.024429,0.019713,1
0.020191,0.011577,-0.039526,-0.036092,0.011114,-0.017562,0.010753,0.004011,-0.007255,0.072787,-0.010829,-0.009542,-0.009961,0.049267,0.016743,-0.005166,0.021031,-0.004667,0.014455,-0.012344,0.013854,1
0.03191,0.03062,-0.010229,-0.003865,0.007207,0.001481,0.008067,0.015241,-0.021903,0.072787,0.003331,-0.028524,-0.002636,0.025829,0.013814,-0.018838,0.027867,-0.018339,0.019704,-0.01503,0.031432,1
-0.004195,-0.011365,-0.014022,0.039002,-0.018645,-0.071519,-0.004471,0.016169,0.023817,0.019453,0.012314,0.029613,-0.003699,0.002601,0.00169,-0.003572,0.021049,0.015827,0.018505,-0.02335,0.043162,1
-0.009106,0.009624,-0.02976,-0.026326,-0.022089,-0.045394,-0.02245,0.003523,0.023995,0.025423,0.022862,-0.021993,-0.01582,0.021923,0.001118,0.005576,0.032749,0.005099,0.026295,-0.008926,0.040221,1
-0.034416,-0.002226,-0.024064,-0.014658,-0.003953,-0.047318,-0.004055,0.011767,0.038974,0.018524,0.019523,-0.006337,-0.00156,0.000097,0.007529,0.042639,0.038718,-0.003233,0.028243,-0.025968,0.0406,1
0.001664,0.010119,0.021134,0.026307,-0.006438,-0.046616,-0.025467,0.023004,0.016492,0.013228,0.028915,-0.002979,0.006555,-0.005212,0.00462,-0.002596,0.044486,-0.012493,0.043896,-0.013951,0.054881,1
-0.022697,0.001192,-0.035783,0.038077,0.000441,-0.060501,0.00156,-0.022413,-0.009366,0.037445,0.003898,0.011668,-0.002536,-0.025293,-0.011026,0.027014,-0.001321,0.003603,0.011397,-0.038053,0.014233,1
-0.004195,-0.003064,-0.014022,0.001893,0.017976,-0.072984,-0.035477,-0.027288,-0.009875,0.025923,-0.000382,0.020397,0.001184,0.00846,-0.005634,0.012053,0.014213,-0.002727,0.042065,-0.011265,0.005076,1
0.007524,0.015979,0.015275,0.034119,0.013093,-0.053941,-0.038162,-0.016058,-0.024523,0.025923,0.014267,0.001415,0.008508,-0.014977,-0.009052,-0.002596,0.021049,-0.016399,0.047314,-0.013951,0.022654,1
0.024097,-0.004536,-0.043432,0.00883,-0.012812,-0.042952,0.013438,-0.010149,-0.006767,0.042879,0.014073,-0.013509,-0.025586,0.01997,-0.023296,-0.015908,0.006382,0.002169,0.006032,-0.037125,0.028503,1
0.017289,-0.020642,-0.015975,-0.013732,0.022859,-0.057359,-0.005203,-0.006781,0.007703,0.024458,0.006943,0.010876,-0.007605,0.031898,-0.011005,0.005217,0.027885,-0.012493,0.038647,-0.027378,0.019724,1
0.018238,-0.002095,-0.037573,-0.034139,0.003301,-0.037093,-0.004872,-0.014544,0.000558,0.036654,0.015538,-0.02712,-0.022656,0.035595,-0.017436,-0.00126,0.022984,-0.010526,0.026173,-0.02504,0.022643,1
-0.028557,-0.004667,-0.028947,0.022452,-0.010301,-0.056107,0.022068,0.035204,0.023837,0.030609,-0.011727,0.003367,0.003323,-0.011621,0.010459,0.03092,0.014304,-0.015928,-0.024247,-0.001676,0.057202,1
-0.010054,-0.008924,-0.007186,-0.012756,0.007234,-0.068589,-0.014969,0.030329,0.023328,0.019087,-0.016007,0.012096,0.007043,0.022132,0.016339,0.014006,0.027885,-0.020306,0.006298,0.025112,0.048045,1
-0.022697,0.002169,-0.035783,0.030264,0.011184,-0.063431,0.011326,-0.002882,-0.018155,0.043304,-0.027352,0.007762,0.005276,-0.021387,-0.002236,0.03092,-0.009134,-0.021788,-0.021073,-0.001676,0.024975,1
-0.003247,0.01646,-0.035131,-0.02535,0.009161,-0.055647,-0.02538,-0.01552,-0.02581,0.043978,-0.02206,-0.021505,-0.006054,0.015087,-0.002788,0.007529,-0.000454,-0.024198,-0.002879,0.027451,0.018737,1
0.029957,0.018901,-0.007299,-0.009725,0.011114,-0.020003,0.000255,0.017194,-0.021903,0.042513,-0.000575,-0.050008,-0.007519,0.01411,-0.011577,-0.014931,0.020054,-0.049589,-0.000804,0.008896,0.050963,1
-0.011059,0.007182,-0.03269,0.001018,-0.063593,-0.045394,0.02711,0.010358,0.008858,0.039461,-0.008388,0.009684,-0.011914,0.006298,0.008931,-0.017861,-0.003383,-0.00955,0.010915,-0.006851,0.042174,1
-0.016918,0.009624,-0.02683,-0.042928,-0.04748,-0.039534,0.0088,0.005476,0.016183,0.033236,-0.007411,-0.003926,-0.009472,0.021923,0.01479,-0.004189,0.011265,-0.020292,0.031178,0.005234,0.036315,1
-0.042229,-0.002226,-0.021134,-0.031259,-0.029344,-0.041458,0.027195,0.01372,0.031161,0.026337,-0.01075,0.011729,0.004788,0.000097,0.021201,0.032873,0.017234,-0.028624,0.033126,-0.011808,0.036694,1
-0.0052,0.028667,0.002466,-0.011678,-0.051386,-0.020491,0.006114,0.017194,0.001534,0.033236,0.007237,-0.022908,-0.00166,-0.001515,0.011861,-0.018838,0.020054,-0.033964,0.036305,0.002548,0.053893,1
-0.03051,0.016817,0.008163,-0.000009,-0.03325,-0.022415,0.024509,0.025438,0.016513,0.026337,0.003898,-0.007253,0.0126,-0.02334,0.018271,0.018225,0.026023,-0.042295,0.038253,-0.014494,0.054272,1
-0.006148,-0.005506,-0.016952,0.029236,-0.022551,-0.072984,0.01506,-0.020941,-0.025988,0.039961,-0.032608,0.052074,0.00509,-0.007165,0.002667,-0.011385,-0.02192,-0.017376,0.026806,-0.00919,0.007029,1
-0.0052,0.013042,-0.038549,0.00883,-0.042109,-0.052718,0.015391,-0.028704,-0.033134,0.052157,-0.024013,0.014079,-0.009961,-0.003468,-0.003764,-0.017861,-0.026821,-0.015409,0.014333,-0.006851,0.009948,1
-0.011059,0.015483,-0.03269,-0.035115,-0.025996,-0.046858,-0.002919,-0.03261,-0.02581,0.045931,-0.02206,0.000468,-0.007519,0.012157,0.002095,-0.004189,-0.012172,-0.026151,0.034474,0.005234,0.004088,1
-0.02465,0.022677,0.002303,0.007803,-0.011766,-0.02974,0.01279,-0.012647,-0.026456,0.039032,-0.01075,-0.002858,0.014553,-0.033106,0.005576,0.018225,0.002585,-0.050108,0.041671,-0.014494,0.022046,1
0.013383,-0.023084,-0.018905,0.013611,-0.016692,-0.057359,0.044357,0.000544,-0.007433,0.038496,-0.024796,0.042553,-0.003699,0.016273,-0.003192,-0.019197,-0.008248,-0.027141,0.023388,-0.025303,0.021677,1
0.008472,-0.002095,-0.034643,-0.051717,-0.020136,-0.031233,0.026378,-0.012102,-0.007255,0.044466,-0.014736,-0.009053,-0.016308,0.035595,-0.003764,-0.011025,0.001499,-0.036894,0.031056,-0.01088,0.018737,1
-0.016838,-0.013944,-0.028947,-0.040048,-0.002,-0.033158,0.044773,-0.003858,0.007724,0.037567,-0.018074,0.006602,-0.002048,0.013769,0.002646,0.026037,0.007468,-0.045225,0.033004,-0.027922,0.019116,1
0.019242,-0.001599,0.016251,0.000916,-0.004485,-0.032456,0.023361,0.007379,-0.014758,0.032271,-0.009171,0.00996,0.005578,0.00846,-0.000263,-0.020174,0.013236,-0.053509,0.048779,-0.015904,0.033396,1
-0.008101,-0.016736,0.021134,-0.00299,0.003328,-0.038316,-0.007156,-0.000433,0.035047,0.019087,-0.021866,-0.002552,0.026575,0.030921,0.063214,-0.005525,0.018119,0.034382,0.01582,-0.002964,0.022654,1
0.004566,0.020854,0.028834,0.007853,-0.020136,0.000993,-0.009511,0.003523,0.013253,0.031283,0.001378,-0.05953,0.018848,0.010204,0.053853,-0.02665,0.020054,0.020724,0.008473,-0.003311,0.043151,1
-0.020744,0.009005,0.03453,0.019522,-0.002,-0.000931,0.008884,0.011767,0.028232,0.024384,-0.001961,-0.043874,0.033108,-0.011621,0.060264,0.010412,0.026023,0.012392,0.010421,-0.020353,0.04353,1
0.003617,-0.013318,0.009415,0.048768,0.007722,-0.051499,-0.000565,-0.033636,-0.013293,0.038984,-0.037491,0.015453,0.025598,0.004554,0.043683,-0.019197,-0.019967,0.039265,-0.001026,-0.015049,-0.003713,1
0.004566,0.005229,-0.012182,0.028361,-0.011836,-0.031233,-0.000234,-0.041399,-0.020438,0.05118,-0.028896,-0.022542,0.010547,0.008251,0.037251,-0.025674,-0.024868,0.041231,-0.013499,-0.012711,-0.000794,1
-0.014885,0.014864,0.028671,0.027335,0.017531,-0.008255,-0.002835,-0.025343,-0.012784,0.038055,-0.015633,-0.039479,0.035061,-0.021387,0.046592,0.010412,0.002585,0.006533,0.013839,-0.020353,0.011303,2
0.02605,-0.012349,-0.014135,0.012736,-0.005,-0.015608,0.029063,-0.020892,-0.00286,0.049715,-0.02206,-0.032064,0.001758,0.031688,0.031392,-0.033486,-0.011196,0.029513,-0.016917,-0.028824,0.013854,1
0.00074,-0.024198,-0.008439,0.024405,0.013137,-0.017533,0.047458,-0.012647,0.012118,0.042816,-0.025399,-0.016408,0.016018,0.009863,0.037803,0.003576,-0.005227,0.021181,-0.01497,-0.045866,0.014233,1
0.020191,-0.009907,-0.008276,-0.032186,0.011114,-0.009749,0.010753,-0.025286,0.004464,0.04349,-0.020595,-0.045675,0.004688,0.047313,0.037251,-0.018838,0.003453,0.018771,0.003224,-0.016739,0.007995,1
-0.005119,-0.021757,-0.002579,-0.020517,0.02925,-0.011673,0.029148,-0.017042,0.019443,0.036591,-0.023934,-0.030019,0.018948,0.025488,0.043662,0.018225,0.009421,0.010439,0.005172,-0.033781,0.008374,2
0.030961,-0.009412,0.042619,0.020447,0.026765,-0.010972,0.007736,-0.006292,-0.003039,0.031294,-0.01503,-0.026661,0.027063,0.020179,0.040753,-0.027986,0.017142,0.003132,0.020947,-0.021763,0.022654,1
-0.010054,-0.028455,0.023087,-0.000061,-0.002532,-0.057847,-0.022781,-0.018011,0.04286,-0.016069,0.005478,-0.021107,0.013879,0.017249,0.029034,-0.001619,0.019096,0.028523,0.027539,-0.01566,0.031443,1
-0.034416,-0.021757,0.007186,-0.008798,-0.003953,-0.039505,-0.004055,-0.01753,0.050693,-0.010773,0.010734,-0.043447,0.013089,-0.000879,0.029014,0.028967,0.020163,0.022158,0.017013,-0.030363,0.034741,1
0.002613,0.009136,0.030787,0.01176,-0.025996,-0.018538,-0.025136,-0.014056,0.021065,-0.003874,0.028721,-0.078084,0.006153,-0.001515,0.019673,-0.022744,0.022007,0.016817,0.020192,-0.016006,0.05194,1
0.001664,-0.026013,0.011369,0.050721,0.001863,-0.07103,-0.017166,-0.052191,-0.00548,0.002852,-0.010147,-0.003102,0.012903,-0.009118,0.009503,-0.015291,-0.019967,0.033405,0.010693,-0.027745,0.005076,1
-0.022697,-0.019315,-0.004533,0.041983,0.000441,-0.052689,0.00156,-0.05171,0.002353,0.008148,-0.004891,-0.025441,0.012112,-0.027246,0.009482,0.015295,-0.018899,0.02704,0.000167,-0.042448,0.008374,2
0.008472,0.014995,0.024927,0.019572,-0.006464,-0.025862,-0.037831,-0.053118,-0.01995,0.008822,0.01505,-0.07369,0.008106,-0.013233,0.006001,-0.022744,-0.00143,0.009005,0.02361,-0.016006,0.019713,2
0.022144,-0.026021,-0.012182,0.014689,-0.012812,-0.03514,0.013438,-0.039446,0.004952,0.013583,0.005284,-0.050618,-0.010937,0.018017,-0.002788,-0.02958,-0.011196,0.025606,-0.005199,-0.041519,0.022643,1
-0.003166,-0.03787,-0.006486,0.026358,0.005324,-0.037064,0.031833,-0.031202,0.019931,0.006683,0.001945,-0.034963,0.003323,-0.003809,0.003623,0.007483,-0.005227,0.017275,-0.003251,-0.058561,0.023022,2
0.028003,-0.004536,0.022974,0.003947,-0.000605,-0.010237,-0.007558,-0.031634,-0.002372,0.007357,0.020909,-0.083211,-0.000683,0.010204,0.000142,-0.030556,0.012242,-0.002714,0.020192,-0.03212,0.034362,2
0.002693,-0.016386,0.028671,0.015616,0.017531,-0.012161,0.010837,-0.02339,0.012607,0.000458,0.01757,-0.067556,0.013577,-0.011621,0.006553,0.006506,0.01821,-0.011045,0.02214,-0.049162,0.034741,2
-0.010054,-0.028455,0.024064,-0.007873,0.007234,-0.060777,-0.014969,0.001032,0.035047,-0.01021,-0.023819,-0.025013,0.021692,0.021155,0.037823,0.000334,0.010307,0.005085,-0.004932,0.020717,0.041209,1
-0.022697,-0.002714,0.03746,0.015616,0.001906,-0.023392,0.001072,0.01372,0.028232,-0.004913,-0.003914,-0.066335,0.028225,-0.019434,0.034873,0.016272,0.01821,-0.014952,-0.010331,0.003573,0.062085,1
0.001664,-0.025037,0.011369,0.044861,0.012605,-0.07396,-0.007401,-0.03266,-0.014269,0.008711,-0.040421,-0.007008,0.020715,-0.005212,0.018292,-0.015291,-0.027779,0.009968,-0.021778,0.008632,0.014841,1
0.008472,0.014995,0.024927,0.01176,0.005254,-0.028792,-0.028066,-0.033587,-0.029716,0.014681,-0.015224,-0.077596,0.015918,-0.009327,0.01479,-0.020791,-0.011196,-0.014433,-0.009105,0.020615,0.029479,2
-0.016838,0.003146,0.030624,0.023428,0.023391,-0.030716,-0.009671,-0.025343,-0.014737,0.007782,-0.018563,-0.06194,0.030178,-0.031153,0.021201,0.016272,-0.005227,-0.022764,-0.007157,0.003573,0.029858,2
0.021196,-0.042615,0.010392,0.027283,0.018464,-0.057359,0.02092,-0.012152,0.004285,0.007246,-0.032608,-0.016529,0.011926,0.018226,0.012433,-0.02115,-0.014108,0.000202,-0.024952,-0.007481,0.02949,1
-0.01982,-0.028455,0.026017,-0.017639,-0.027922,-0.051988,0.008469,-0.016058,0.035047,-0.008257,-0.023819,-0.00304,0.020227,0.017249,0.042706,-0.011385,-0.001412,0.001179,0.03291,-0.0015,0.025584,1
-0.018872,-0.009907,0.00442,-0.038045,-0.04748,-0.031722,0.0088,-0.023821,0.027901,0.003939,-0.015224,-0.041036,0.005176,0.020946,0.036275,-0.017861,-0.006313,0.003146,0.020436,0.000839,0.028503,1
-0.007153,-0.007466,-0.007299,0.012736,-0.042109,-0.044905,0.015391,-0.058001,-0.021415,0.02286,-0.031825,-0.02303,0.004688,-0.005421,0.016743,-0.033486,-0.044399,0.008028,0.00359,-0.011246,0.002135,1
-0.013012,-0.005025,-0.00144,-0.030232,-0.025996,-0.039046,-0.002919,-0.061907,-0.014091,0.016634,-0.029872,-0.036641,0.007129,0.010204,0.022603,-0.017861,-0.029751,-0.002714,0.023732,0.000839,-0.003724,2
-0.002242,-0.003552,0.049455,0.0224,-0.010344,-0.040269,-0.005936,-0.042425,-0.02257,0.004439,-0.023819,-0.017628,0.029016,-0.016931,0.026104,-0.026033,-0.018014,-0.020306,0.041455,-0.004185,0.010935,1
-0.001293,0.014995,0.027857,0.001994,-0.029902,-0.020003,-0.005605,-0.050188,-0.029716,0.016634,-0.015224,-0.055623,0.013965,-0.013233,0.019673,-0.03251,-0.022915,-0.018339,0.028981,-0.001846,0.013854,2
-0.026604,0.003146,0.033553,0.013663,-0.011766,-0.021927,0.01279,-0.041944,-0.014737,0.009735,-0.018563,-0.039968,0.028225,-0.035059,0.026084,0.004553,-0.016946,-0.02667,0.030929,-0.018888,0.014233,2
0.014332,-0.026021,-0.009252,-0.002889,-0.03625,-0.02928,0.044688,-0.036517,-0.00286,0.021395,-0.024013,-0.032552,-0.004101,0.018017,0.010884,-0.039346,-0.030727,-0.001737,0.000172,-0.027359,0.016784,1
-0.010979,-0.03787,-0.003556,0.00878,-0.018113,-0.031204,0.063083,-0.028272,0.012118,0.014496,-0.027352,-0.016896,0.010159,-0.003809,0.017295,-0.002283,-0.024759,-0.010069,0.00212,-0.044401,0.017163,2
0.019242,-0.023084,0.047501,0.006775,-0.004485,-0.024644,0.023361,-0.021917,-0.003039,0.002974,-0.016983,-0.027149,0.021203,0.006507,0.020245,-0.031893,-0.002389,-0.030071,0.038037,-0.020298,0.025584,1
-0.005119,-0.016386,0.0316,-0.001962,-0.005906,-0.006302,0.042087,-0.021437,0.004794,0.00827,-0.011727,-0.049489,0.020413,-0.011621,0.020224,-0.001306,-0.001321,-0.036436,0.027511,-0.035002,0.028881,2
0.006519,-0.00063,-0.020971,0.001018,-0.032343,-0.01805,0.034923,0.008405,0.010812,0.061922,-0.002529,-0.002523,-0.003125,-0.005421,0.024556,-0.025674,0.035679,0.049044,-0.011546,0.018295,0.021667,1
-0.018791,-0.012479,-0.015275,0.012686,-0.014207,-0.019974,0.053318,0.016649,0.02579,0.055023,-0.005867,0.013133,0.011136,-0.027246,0.030967,0.011389,0.041648,0.040712,-0.009599,0.001253,0.022046,1
0.00066,0.001811,-0.015112,-0.043904,-0.01623,-0.01219,0.016612,0.003523,0.018136,0.055697,-0.001552,-0.016134,-0.000195,0.010204,0.030415,-0.010049,0.050328,0.038302,0.008717,0.03038,0.015807,1
0.033863,-0.010396,-0.028784,-0.008748,-0.005,-0.009749,0.052501,-0.009173,-0.012626,0.074129,-0.010341,-0.00765,-0.009961,0.008251,0.006001,-0.031533,0.025913,0.033419,-0.011546,0.002182,0.004088,1
-0.001293,-0.009907,-0.012182,-0.041951,-0.022089,-0.032698,-0.000966,-0.014056,0.025948,0.019564,0.025792,-0.033712,-0.01289,-0.003468,-0.003764,-0.006142,0.052281,0.032442,0.020436,0.017685,0.024596,1
-0.014885,-0.002714,0.022811,0.001944,-0.007859,-0.015579,0.014744,0.005907,0.026279,0.012665,0.037101,-0.037038,0.008694,-0.048731,-0.000283,0.016272,0.065085,0.008486,0.027511,-0.001799,0.042553,1
0.009477,-0.025037,-0.002303,0.031189,0.001863,-0.066148,0.005295,-0.040472,-0.015246,0.027266,0.000595,0.022289,0.001184,-0.032556,-0.016864,-0.015291,0.017142,0.035359,0.016064,0.003261,-0.00469,1
0.010425,-0.006489,-0.023901,0.010783,-0.017695,-0.045882,0.005626,-0.048235,-0.022392,0.039461,0.00919,-0.015706,-0.013867,-0.028858,-0.023296,-0.021767,0.012242,0.037325,0.00359,0.0056,-0.001771,1
