@relation wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P80.0

@attribute fixedacid numeric
@attribute volacid numeric
@attribute citricacid numeric
@attribute residualsugar numeric
@attribute chlorides numeric
@attribute freesulfur numeric
@attribute totalsulfur numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4,7
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5
6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,7
6.9,0.3,0.49,7.6,0.057,25,156,0.9962,3.43,0.63,11,7
5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
7.3,0.3,0.25,2.5,0.045,32,122,0.99329,3.18,0.54,10.3,5
8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6
6.5,0.32,0.45,7.7,0.022,31,97,0.99134,3.2,0.7,12.7,7
6.2,0.26,0.32,15.3,0.031,64,185,0.99835,3.31,0.61,9.4,5
6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9,5
7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,5
7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,8
6,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5
6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6
6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,6
5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,6
7.1,0.38,0.29,13.6,0.041,30,137,0.99461,3.02,0.96,12.1,6
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5
5.9,0.19,0.37,0.8,0.027,3,21,0.9897,3.09,0.31,10.8,5
7.2,0.27,0.37,5.4,0.026,27,114,0.99174,3.13,0.84,12.7,5
7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7
7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8,5
7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,6
6.2,0.2,0.31,1,0.031,22,73,0.99035,3.24,0.52,11.3,6
6.7,0.14,0.51,4.3,0.028,57,124,0.99176,2.91,0.54,10.7,7
7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7
8.8,0.19,0.3,5,0.028,34,120,0.99242,2.94,0.47,11.2,5
5.9,0.21,0.23,7.9,0.033,22,130,0.9944,3.38,0.59,10.9,6
6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5
6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,5
6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,4
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5
7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6
6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,6
5.6,0.26,0.5,11.4,0.029,25,93,0.99428,3.23,0.49,10.5,6
6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5
6,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1,7
7.5,0.28,0.78,12.1,0.041,53,161,0.99838,2.98,0.44,8.7,5
6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,5
7.3,0.22,0.49,9.9,0.031,48,161,0.9937,3.01,0.28,11.2,6
7.2,0.19,0.31,1.6,0.062,31,173,0.9917,3.35,0.44,11.7,6
7.3,0.18,0.29,1,0.036,26,101,0.99,3.09,0.37,11.7,6
6.1,0.34,0.21,5,0.042,17,133,0.99373,3.02,0.53,9.4,5
6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6
7.1,0.55,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2,6
7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
6.2,0.28,0.57,1,0.043,50,92,0.99004,3.17,0.36,11.5,6
6.3,0.48,0.48,1.8,0.035,35,96,0.99121,3.49,0.74,12.2,6
7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,6
5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5
6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,5
7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,5
6.8,0.23,0.33,1.9,0.047,20,101,0.9914,3.1,0.46,11.1,6
6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8
8.3,0.21,0.41,2.2,0.05,24,108,0.994,2.85,0.45,9.5,5
7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,5
6.5,0.3,0.28,11.45,0.041,29,109,0.99418,2.98,0.3,10.9,6
6.4,0.23,0.27,2.1,0.042,35,100,0.99094,3.03,0.63,10.9,6
7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7,5
8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8
6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,5
6,0.26,0.5,2.2,0.048,59,153,0.9928,3.08,0.61,9.8,5
6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.55,6
6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
7,0.24,0.24,9,0.03,42,219,0.99636,3.47,0.46,10.2,6
6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,6
6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,8
7.2,0.17,0.37,6.9,0.059,47,128,0.99322,3.08,0.46,11,7
6.4,0.31,0.5,5.8,0.038,42,111,0.99189,3.18,0.53,11.9,7
7.3,0.25,0.42,14.2,0.041,57,182,0.9996,3.29,0.75,9.1,7
9.3,0.2,0.33,1.7,0.05,28,178,0.9954,3.16,0.43,9,4
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6
7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1,7
6,0.3,0.33,2.1,0.042,31,127,0.98964,3.32,0.42,12.5,6
8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,7
5.9,0.32,0.26,1.5,0.057,17,141,0.9917,3.24,0.36,10.7,5
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
7.4,0.105,0.34,12.2,0.05,57,146,0.9973,3.16,0.37,9,6
6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,6
6.1,0.22,0.28,16.55,0.059,54,135,0.99665,3.2,0.38,10.5,5
6.9,0.2,0.28,1.2,0.048,36,159,0.9936,3.19,0.43,9.1,6
6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6
8.1,0.25,0.38,3.8,0.051,18,129,0.9928,3.21,0.38,11.5,6
6.4,0.26,0.25,10.7,0.046,66,179,0.99606,3.17,0.55,9.9,6
5.5,0.32,0.13,1.3,0.037,45,156,0.99184,3.26,0.38,10.7,5
6.7,0.5,0.63,13.4,0.078,81,238,0.9988,3.08,0.44,9.2,5
6.7,0.31,0.32,14.5,0.038,6,79,0.99412,3.14,0.34,12.5,5
5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,4
7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5
8.3,0.23,0.3,2.1,0.049,21,153,0.9953,3.09,0.5,9.6,6
7,0.23,0.33,1,0.043,46,110,0.99118,3.04,0.65,10.8,6
6.1,0.45,0.27,0.8,0.039,13,82,0.9927,3.23,0.32,9.5,5
6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4,5
6,0.2,0.25,2,0.041,30,95,0.99078,3.27,0.56,11.1,6
7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5
6.2,0.18,0.3,1,0.031,23,73,0.99032,3.23,0.52,11.3,6
6.3,0.3,0.28,5,0.042,36,168,0.99505,3.22,0.69,9.5,6
5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6
6.4,0.24,0.23,2,0.046,30,133,0.9908,3.12,0.54,11.4,7
6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6
6.4,0.25,0.32,0.9,0.034,40,114,0.99114,3.31,0.58,10.8,7
6.6,0.33,0.31,1.3,0.02,29,89,0.99035,3.26,0.44,12.4,8
6.9,0.32,0.27,16,0.034,58,185,0.99938,3.34,0.6,9,6
8.1,0.28,0.49,1,0.04,32,148,0.9936,3.13,0.41,10,6
8.5,0.24,0.47,15.2,0.057,40,234,1.0005,3.02,0.66,9,5
8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5
7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6
6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5
6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13,7
6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6
7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7
6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,7
7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,6
6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5
7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,7
6.5,0.2,0.31,2.1,0.033,32,95,0.989435,2.96,0.61,12,6
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6
6.4,0.24,0.31,2.8,0.038,41,114,0.99155,3.37,0.66,11.7,7
6.8,0.4,0.29,2.8,0.044,27,97,0.9904,3.12,0.42,11.2,6
6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,5
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9,6
7.6,0.31,0.49,3.95,0.044,27,131,0.9912,3.08,0.67,12.8,7
6.6,0.27,0.29,5.3,0.045,57,189,0.9953,3.31,0.79,9.8,5
8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5
7.1,0.33,0.18,6.3,0.094,27,166,0.99474,2.9,0.49,9.5,5
6.9,0.27,0.25,7.5,0.03,18,117,0.99116,3.09,0.38,13,6
5.7,0.22,0.29,3.5,0.04,27,146,0.98999,3.17,0.36,12.1,6
6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6
6.9,0.27,0.4,14,0.05,64,227,0.9979,3.18,0.58,9.6,6
7.4,0.2,0.37,1.2,0.028,28,89,0.99132,3.14,0.61,11.8,6
7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,5
7.2,0.23,0.38,6.1,0.067,20,90,0.99496,3.17,0.79,9.7,5
7.6,0.18,0.28,7.1,0.041,29,110,0.99652,3.2,0.42,9.2,6
7,0.22,0.29,8.9,0.05,24,90,0.99556,3.29,0.46,9.8,6
6.6,0.28,0.3,7.8,0.049,57,202,0.9958,3.24,0.39,9.5,5
6.5,0.28,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8,5
7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5,5
6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,5
6,0.39,0.17,12,0.046,65,246,0.9976,3.15,0.38,9,6
7.9,0.35,0.36,1.6,0.038,11,124,0.9928,3.25,0.48,11,5
5.8,0.35,0.29,3.2,0.034,41,151,0.9912,3.35,0.58,11.633333,7
5,0.3,0.33,3.7,0.03,54,173,0.9887,3.36,0.3,13,7
8.7,0.22,0.42,2.3,0.053,27,114,0.994,2.99,0.43,10,5
6.6,0.25,0.35,14,0.069,42,163,0.999,3.56,0.47,9.8,5
7.4,0.26,0.31,2.4,0.043,58,178,0.9941,3.42,0.68,10.6,6
6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6
7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6
7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5
6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7
6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,6
8.9,0.24,0.33,15.75,0.035,16,132,0.996,3,0.37,12.1,6
7.5,0.38,0.33,9.2,0.043,19,116,0.99444,3.08,0.42,11.4,6
7.1,0.15,0.34,1,0.033,27,73,0.98974,3.24,0.41,12.2,6
6.1,0.37,0.46,12,0.042,61,210,0.997,3.17,0.59,9.7,6
8.5,0.18,0.3,1.1,0.028,34,95,0.99272,2.83,0.36,10,4
5.7,0.2,0.3,2.5,0.046,38,125,0.99276,3.34,0.5,9.9,6
6.8,0.12,0.31,5.2,0.045,29,120,0.9942,3.41,0.46,9.8,7
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
6,0.29,0.21,1.3,0.055,42,168,0.9914,3.32,0.43,11.1,6
6.6,0.16,0.21,6.7,0.055,43,157,0.99384,3.15,0.52,10.8,6
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6
6.6,0.25,0.3,1.6,0.046,32,134,0.993,3.42,0.51,10.1,7
8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,6
6.8,0.28,0.44,9.3,0.031,35,137,0.9946,3.16,0.36,10.4,6
5.8,0.15,0.31,5.9,0.036,7,73,0.99152,3.2,0.43,11.9,6
5.8,0.2,0.16,1.4,0.042,44,99,0.98912,3.23,0.37,12.2,6
7.4,0.18,0.24,1.4,0.047,21,106,0.99383,3.52,0.64,10.5,7
6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4
5.4,0.18,0.24,4.8,0.041,30,113,0.99445,3.42,0.4,9.4,6
5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,6
7,0.29,0.37,4.9,0.034,26,127,0.9928,3.17,0.44,10.8,6
4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,4
7.3,0.29,0.29,4.6,0.029,27,155,0.9931,3.07,0.26,10.6,6
6,0.14,0.17,5.6,0.036,37,127,0.99373,3.05,0.57,9.8,6
5.5,0.23,0.19,2.2,0.044,39,161,0.99209,3.19,0.43,10.4,6
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,5
6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,6
6.5,0.21,0.37,2.5,0.048,70,138,0.9917,3.33,0.75,11.4,7
6.7,0.3,0.45,10.6,0.032,56,212,0.997,3.22,0.59,9.5,6
6.3,0.26,0.24,7.2,0.039,38,172,0.9958,3.49,0.64,9.7,6
7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8,5
6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7
6.4,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6
8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,4
7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6
6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6
6.5,0.38,0.34,3.4,0.036,34,200,0.9937,3.14,0.76,10,5
6.7,0.44,0.31,1.9,0.03,41,104,0.99,3.29,0.62,12.6,7
7.6,0.24,0.44,3.8,0.037,49,146,0.9911,3.06,0.37,11.6,6
6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5
6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,6
5.6,0.32,0.32,8.3,0.043,32,105,0.99266,3.24,0.47,11.2,6
6.5,0.22,0.31,3.9,0.046,17,106,0.99098,3.15,0.31,11.5,5
6.9,0.19,0.38,1.15,0.023,30,105,0.99047,3.11,0.38,11.4,5
5.4,0.23,0.36,1.5,0.03,74,121,0.98976,3.24,0.99,12.1,7
6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,6
5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,6
7.6,0.31,0.27,8.8,0.021,57,156,0.99442,3.08,0.38,11,7
6.3,0.15,0.34,11.4,0.05,25,96,0.99754,3.21,0.49,10,6
5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,5
5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,9.8,5
6.4,0.26,0.26,1.1,0.052,22,176,0.99304,3.09,0.54,9.3,5
7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5
7.2,0.26,0.3,2.1,0.033,50,158,0.9909,3.33,0.43,12.1,7
6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4,5
6.3,0.26,0.25,5.2,0.046,11,133,0.99202,2.97,0.68,11,6
7.9,0.51,0.34,2.6,0.049,13,135,0.99335,3.09,0.51,10,5
8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,6
6,0.4,0.3,1.6,0.047,30,117,0.9931,3.17,0.48,10.1,6
6.1,0.15,0.4,1.2,0.03,19,84,0.98926,3.19,0.96,13,6
7.2,0.24,0.19,7.7,0.045,53,176,0.9958,3.17,0.38,9.5,5
8,0.36,0.43,10.1,0.053,29,146,0.9982,3.4,0.46,9.5,6
7.2,0.35,0.34,12.4,0.051,6,37,0.9944,3.13,0.39,11.5,6
6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7
6.5,0.28,0.25,4.8,0.029,54,128,0.99074,3.17,0.44,12.2,7
7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,5
6.9,0.2,0.36,1.5,0.031,38,147,0.9931,3.35,0.56,11,6
6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,7
5.8,0.61,0.01,8.4,0.041,31,104,0.9909,3.26,0.72,14.05,7
6.3,0.36,0.2,2,0.048,48,191,0.9929,3.17,0.51,9.6,5
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6
7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,6
7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,6
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5
6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,6
7.7,0.18,0.53,1.2,0.041,42,167,0.9908,3.11,0.44,11.9,5
6.9,0.32,0.17,7.6,0.042,69,219,0.9959,3.13,0.4,8.9,5
7.2,0.18,0.31,1.1,0.045,20,73,0.9925,3.32,0.4,10.8,7
5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,5
7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,7
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
7.1,0.42,0.2,2.8,0.038,28,109,0.98968,3.23,0.47,13.4,6
6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,7
6.6,0.28,0.36,1.7,0.038,22,101,0.9912,3.29,0.57,11.6,6
7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6
6.6,0.31,0.28,1.4,0.035,28,107,0.98836,3,0.4,13.2,6
7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6
7.2,0.4,0.38,2.2,0.03,40,109,0.99075,3.27,0.46,12.6,6
6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,6
7.8,0.28,0.32,9,0.036,34,115,0.9952,3.17,0.39,10.3,7
9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,7
6.7,0.15,0.32,7.9,0.034,17,81,0.99512,3.29,0.31,10,6
6.8,0.24,0.29,2,0.044,15,96,0.99232,3.23,0.64,10.4,8
6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6
7,0.16,0.32,1.1,0.032,29,80,0.98972,3.23,0.36,12.1,6
6.8,0.21,0.26,11.7,0.038,61,152,0.99523,3.02,0.56,10.5,7
6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6
9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,5
7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6
5.8,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1,5
6.7,0.26,0.49,8.1,0.052,48,197,0.99558,3.19,0.48,9.5,5
5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,7
5.1,0.3,0.3,2.3,0.048,40,150,0.98944,3.29,0.46,12.2,6
6,0.17,0.3,7.3,0.039,39,104,0.99252,2.91,0.57,11,6
6.6,0.33,0.41,2,0.027,14,79,0.99063,3.27,0.63,12.4,6
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,6
6.8,0.23,0.31,2.8,0.047,40,122,0.99126,3.06,0.64,10.9,7
7,0.32,0.24,6.2,0.048,31,228,0.9957,3.23,0.62,9.4,6
5.6,0.12,0.26,4.3,0.038,18,97,0.99477,3.36,0.46,9.2,5
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
5.7,0.12,0.26,5.5,0.034,21,99,0.99324,3.09,0.57,9.9,6
8.3,0.25,0.33,2.5,0.053,12,72,0.99404,2.89,0.48,9.5,5
6,0.32,0.46,1.5,0.05,56,189,0.99308,3.24,0.49,9.6,5
6.6,0.22,0.37,1.2,0.059,45,199,0.993,3.37,0.55,10.3,7
6.3,0.22,0.22,5.6,0.039,31,128,0.99296,3.12,0.46,10.4,6
5.4,0.45,0.27,6.4,0.033,20,102,0.98944,3.22,0.27,13.4,8
7.8,0.27,0.28,1.8,0.05,21,127,0.9934,3.15,0.44,9.9,5
6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6
6.8,0.19,0.58,14.2,0.038,51,164,0.9975,3.12,0.48,9.6,6
7.2,0.22,0.35,5.5,0.054,37,183,0.99474,3.08,0.5,10.3,5
6.1,0.29,0.27,1.7,0.024,13,76,0.9893,3.21,0.51,12.6,7
7.9,0.44,0.26,4.45,0.033,23,100,0.99117,3.17,0.52,12.7,6
7.6,0.3,0.4,2.2,0.054,29,175,0.99445,3.19,0.53,9.8,5
6.4,0.24,0.5,11.6,0.047,60,211,0.9966,3.18,0.57,9.3,5
9.4,0.23,0.56,16.45,0.063,52.5,282,1.00098,3.1,0.51,9.3,5
6.8,0.29,0.34,3.5,0.054,26,189,0.99489,3.42,0.58,10.4,5
7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7
6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7
